second,rate
0,0.96
1,0.95
2,1.01
3,1
4,0.99
5,1
6,1
7,1
8,1
9,1
10,1.01
11,1
12,1
13,0.99
14,1.01
15,1.01
16,1.01
17,0.99
18,1
19,1.01
20,1
21,1
22,1.01
23,1.01
24,1
25,1
26,1.01
27,1
28,1
29,1
30,1
31,1
32,1.01
33,1.01
34,1
35,1
36,1.01
37,1.01
38,0.99
39,1
40,1
41,1
42,1.01
43,1
44,1
45,0.99
46,1
47,1
48,1
49,0.98
50,1
51,0.98
52,1
53,0.99
54,1
55,0.99
56,1
57,1
58,1
59,1.01
60,1
61,0.99
62,0.99
63,1
64,1
65,1
66,1.01
67,1
68,1
69,0.99
70,1.01
71,1
72,1.01
73,1.01
74,1.01
75,1
76,1.01
77,1.01
78,0.11
79,1
80,1.01
81,1.01
82,1.01
83,1
84,1
85,1.01
86,1
87,1
88,1.01
89,1
90,1.01
91,1
92,0.99
93,1.01
94,1
95,1.01
96,1
97,1
98,1.01
99,1.01
100,1.01
101,0.04
102,0.99
103,0.99
104,1
105,0.99
106,1
107,0.99
108,0.99
109,1.01
110,1
111,0.99
112,1
113,1
114,1
115,1
116,1
117,0.98
118,1.01
119,1
120,1
121,1
122,1
123,0.99
124,0.04
125,1
126,1
127,0.98
128,0.99
129,0.98
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0.99
143,1
144,1
145,1
146,1
147,0.99
148,1
149,1
150,0.27
151,1
152,1
153,1.01
154,1.01
155,1
156,0.99
157,1
158,0.99
159,1
160,0.99
161,1
162,1.01
163,1.01
164,1.01
165,1.01
166,1.01
167,1
168,1
169,1
170,1.01
171,1.01
172,1.01
173,1.01
174,1.01
175,1
176,0.99
177,1.01
178,1
179,1.01
180,0.99
181,0.99
182,1.01
183,1.01
184,1.01
185,1
186,1.01
187,1.01
188,1.01
189,1.01
190,1
191,1
192,1.01
193,1.01
194,1.01
195,0.99
196,1
197,1
198,1.01
199,1
200,1
201,1.01
202,1
203,1.01
204,1.01
205,1.01
206,1.01
207,1
208,1.01
209,1
210,1.01
211,1.01
212,1
213,1
214,1.01
215,1
216,1
217,1.01
218,1.01
219,1.01
220,1
221,1.01
222,1.01
223,1
224,0.99
225,1.01
226,1.01
227,1
228,1
229,1.01
230,1.01
231,1
232,1.01
233,1.01
234,1.01
235,1.01
236,1.01
237,1.01
238,0.99
239,1.01
240,1.01
241,1.01
242,0.99
243,1
244,1.01
245,1
246,1.01
247,1.01
248,1.01
249,1.01
250,1
251,0.98
252,0.99
253,1
254,1
255,1
256,0.99
257,0.99
258,0.99
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0.99
269,1.01
270,1
271,1
272,1.01
273,0.98
274,1
275,1
276,1
277,1
278,1.01
279,0.99
280,0.99
281,1
282,1
283,1
284,1
285,1
286,1
287,1.01
288,1
289,1
290,1
291,1
292,1
293,1
294,0.99
295,1
296,0.99
297,1.01
298,1
299,0.99
300,1
301,1
302,1
303,0.99
304,1
305,1
306,1
307,0.99
308,0.99
309,1.01
310,1
311,0.99
312,0.99
313,1
314,1
315,1
316,0.99
317,1
318,0.99
319,0.99
320,1.01
321,0.99
322,1
323,1
324,1
325,1
326,1.01
327,1
328,1
329,1
330,0.99
331,0.99
332,1
333,0.99
334,0.99
335,1
336,1
337,0.99
338,1
339,0.99
340,1
341,1
342,1
343,1.01
344,1
345,1
346,1
347,1
348,1
349,0.99
350,1
351,1
352,1.01
353,1
354,1.01
355,1
356,0.99
357,1
358,1
359,0.99
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1.01
370,1.01
371,1
372,1
373,1
374,1
375,1
376,0.99
377,0.99
378,1
379,1.01
380,1
381,1
382,1.01
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0.99
392,1
393,1
394,1
395,1
396,1.01
397,1
398,1
399,0.99
400,1
401,1.01
402,1
403,1.01
404,0.99
405,1
406,1
407,1
408,1
409,1
410,1
411,1.01
412,1
413,1
414,0.99
415,1
416,0.99
417,1
418,1
419,1
420,1
421,1.01
422,1
423,1
424,1
425,1
426,1.01
427,1
428,1
429,1
430,1
431,1
432,1
433,0.99
434,0.99
435,0.99
436,1.01
437,1
438,1
439,1
440,1
441,1
442,1.01
443,1
444,1
445,1
446,1
447,1.01
448,1.01
449,1
450,1
451,1
452,0.99
453,1
454,1
455,1
456,1.01
457,1
458,1
459,0.98
460,1
461,0.99
462,1
463,1
464,1
465,1
466,0.99
467,1.01
468,1
469,1
470,1
471,1
472,1.01
473,1
474,1.01
475,1.01
476,1
477,1.01
478,1
479,1.01
480,1
481,1.01
482,1
483,1
484,1.01
485,1.01
486,1.01
487,1
488,1
489,1
490,1
491,1.01
492,1.01
493,1
494,1.01
495,1
496,1
497,1.01
498,1
499,1
500,1.01
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0.98
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1.01
522,0.99
523,1
524,1.01
525,1
526,1
527,1
528,1.01
529,1.01
530,0.99
531,1
532,1
533,1
534,1
535,1
536,0.99
537,1
538,1.01
539,1
540,1
541,1
542,1.01
543,1
544,1
545,1.01
546,1.01
547,1
548,1
549,1
550,1
551,1
552,1.01
553,1
554,1.01
555,1.01
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1.01
567,1
568,1
569,1
570,1.01
571,1
572,1
573,1
574,1
575,1
576,1.01
577,1
578,1.01
579,1.01
580,1
581,0.99
582,1
583,1
584,1
585,1
586,1.01
587,1
588,1
589,1
590,1
591,1
592,1.01
593,0.99
594,1
595,1.01
596,1
597,1
598,1
599,1
600,0.99
601,1
602,1
603,1
604,1.01
605,1.01
606,1
607,1
608,1
609,1
610,0.99
611,1.01
612,1
613,1.01
614,1.01
615,1
616,1
617,1
618,1
619,1
620,1
621,1.01
622,1
623,1
624,1
625,1.01
626,1
627,1.01
628,1.01
629,1.01
630,1
631,1
632,1.01
633,1
634,1
635,1.01
636,1
637,1
638,1.01
639,1.01
640,1.01
641,1
642,0.99
643,1
644,1
645,1
646,0.99
647,1
648,1
649,1
650,1
651,0.99
652,0.99
653,1
654,1
655,1
656,1.01
657,1
658,0.99
659,1
660,0.99
661,1
662,1
663,1
664,0.99
665,1
666,1.01
667,0.99
668,1
669,0.98
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,0.99
685,1.01
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1.01
694,1
695,1
696,1
697,1
698,0.99
699,1
700,1
701,1
702,0.99
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,0.99
713,1
714,1
715,1
716,1
717,1
718,1
719,1